WKT,id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
"POLYGON ((174.7459040833 -36.84893605,174.7459026333 -36.8489425833,174.7459241 -36.8490215167,174.74577065 -36.84906645,174.74576605 -36.8489181167,174.7459040833 -36.84893605))",5256265,,,Road,Primary,,North Auckland,,,169
"POLYGON ((174.7459134333 -36.8487119833,174.7459882333 -36.8487902,174.7459685833 -36.84881755,174.7459419 -36.8488544333,174.7458524333 -36.8487953333,174.7459134333 -36.8487119833))",5257313,,,Road,Primary,,North Auckland,,,96
"POLYGON ((174.7461669 -36.8485449833,174.7461016667 -36.8486295667,174.7460440333 -36.8487111333,174.7459882333 -36.8487902,174.7459134333 -36.8487119833,174.7460248333 -36.8485527,174.7460030833 -36.84848855,174.7461669 -36.8485449833))",5214776,,,Road,Primary,,North Auckland,,,309
"POLYGON ((174.7456248333 -36.8487328167,174.7456049833 -36.8487315667,174.7456028833 -36.84873105,174.7454053667 -36.8486823667,174.7453298333 -36.8486638,174.7452991167 -36.8486561833,174.7452525333 -36.8486446333,174.74512715 -36.8486137833,174.7450148167 -36.8486245833,174.7449044 -36.8486351167,174.7448497 -36.8486402333,174.74479565 -36.8486450333,174.7446836333 -36.8486554667,174.7445716 -36.8486656167,174.74446075 -36.84867565,174.7443474667 -36.8486859,174.7440554833 -36.84871255,174.7440258667 -36.8486228167,174.7443337833 -36.8485947,174.7444461667 -36.84858485,174.7445596667 -36.8485742,174.7446717 -36.8485639667,174.7447843333 -36.8485538333,174.7448417167 -36.84854855,174.7448948333 -36.84854365,174.7450068833 -36.8485334333,174.7451189333 -36.84852325,174.7451379333 -36.84852145,174.7452294667 -36.8485438,174.7453374 -36.84857015,174.7454484333 -36.84859725,174.74555625 -36.8486252,174.7456659 -36.8486517667,174.7459134333 -36.8487119833,174.7458524333 -36.8487953333,174.7456248333 -36.8487328167))",5241310,,,Road,Primary,,North Auckland,,,1703
"POLYGON ((174.74455115 -36.8491578833,174.74422215 -36.8491876,174.7441706833 -36.8490692167,174.74439475 -36.8490483,174.7445089167 -36.8490374,174.7446188167 -36.84902735,174.74473395 -36.8490163833,174.7448428667 -36.8490063667,174.7448582667 -36.849005,174.7449537167 -36.848996,174.7450647833 -36.8489855167,174.745175 -36.8489750833,174.7452863 -36.84896455,174.7454031667 -36.84895345,174.7455152167 -36.8489427667,174.7455212667 -36.8489421667,174.74576605 -36.8489181167,174.74577065 -36.84906645,174.74574395 -36.8490512167,174.74571145 -36.8490479167,174.7455163333 -36.8490669667,174.74551495 -36.8490678833,174.7455116167 -36.8490342,174.7453729167 -36.8490478167,174.74525885 -36.8490588667,174.7451418833 -36.8490702833,174.7450287333 -36.8490811667,174.7450063833 -36.8490835333,174.7449719667 -36.8490868333,174.7449136167 -36.84909215,174.7447959167 -36.8491027167,174.7446882667 -36.8491124167,174.7446661667 -36.84911435,174.74454075 -36.84912565,174.74455115 -36.8491578833))",5241289,,,Road,Primary,,North Auckland,,,1625
"POLYGON ((174.7438018167 -36.8489118833,174.7440554833 -36.84871255,174.7440847333 -36.8488029667,174.7441115 -36.8488859,174.7441252833 -36.8489283167,174.7441416333 -36.8489793167,174.7441706833 -36.8490692167,174.7438630833 -36.84910045,174.7438018167 -36.8489118833))",5211774,,,Road,Primary,,North Auckland,,,858
"POLYGON ((174.7440258667 -36.8486228167,174.7440554833 -36.84871255,174.7438018167 -36.8489118833,174.74369555 -36.8485847333,174.7437125667 -36.8484014333,174.7440168333 -36.8484404167,174.7439924333 -36.8485263,174.74399445 -36.8485261167,174.7440258667 -36.8486228167))",5251649,,,Road,Primary,,North Auckland,,,1207
"POLYGON ((174.7424894667 -36.8492345167,174.7423195333 -36.8492485167,174.7422824833 -36.8489745667,174.74224505 -36.8486996833,174.7424198 -36.8486866167,174.7424539667 -36.8489595167,174.7424894667 -36.8492345167))",5216731,,,Road,Primary,,North Auckland,,,943
"POLYGON ((174.7423195333 -36.8492485167,174.7424894667 -36.8492345167,174.74250765 -36.849371,174.7423378167 -36.84938495,174.7423195333 -36.8492485167))",5250226,,,Road,Primary,,North Auckland,,,232
"POLYGON ((174.7428492667 -36.8493427167,174.74270575 -36.8493546,174.74250765 -36.849371,174.7424894667 -36.8492345167,174.7426588667 -36.8492204667,174.74282585 -36.8492066667,174.7429974833 -36.8491924,174.7431663833 -36.8491783667,174.7434950333 -36.8491513333,174.7434995833 -36.8491507,174.7435073 -36.8491502,174.7438469833 -36.8491218833,174.7438630833 -36.84910045,174.7439143833 -36.8492572833,174.7436478333 -36.84927845,174.74318615 -36.8493149333,174.7430191833 -36.8493285667,174.7428492667 -36.8493427167))",5240661,,,Road,Primary,,North Auckland,,,1916
