WKT,t50_fid,name_ascii,macronated,name,hway_num,rna_sufi,lane_count,way_count,status,surface
"LINESTRING (174.744351552582 -36.8412273100026,174.744507587295 -36.8414942778837,174.744666319153 -36.8417681102735,174.744840490853 -36.842078651213,174.744845680322 -36.8420879048843,174.744980701936 -36.8423105728286,174.745174433407 -36.8426358803599,174.745276897886 -36.8428098989012,174.745281273467 -36.8428236496122,174.745281696021 -36.842838488614,174.745277312836 -36.8428542499615)",3288594,RING TERRACE,N,RING TERRACE,,1824565,2,,,sealed
"LINESTRING (174.745942860588 -36.8436954293348,174.745880337751 -36.8437091703929,174.745745742447 -36.8437208063744,174.74569066109 -36.8437255507329,174.745638199106 -36.8437281095813,174.745605751577 -36.8437300175074,174.74557052903 -36.843727315226,174.745523179121 -36.8437197831594,174.745482414717 -36.8437082190686,174.745439342544 -36.8436931114052,174.74497471218 -36.8435378862161,174.744938735798 -36.8435216006794,174.744905436877 -36.8435056345582,174.744872097321 -36.8434878798477,174.744847130596 -36.8434664256538,174.744808806248 -36.843425135092,174.744605487688 -36.8431741360924,174.744582101541 -36.8431469197529,174.744567542537 -36.843129977199,174.744534605824 -36.8430907535688,174.744516652509 -36.8430645453963,174.74450001705 -36.8430376031077,174.744411957024 -36.8428870914482,174.744358732462 -36.8427939205873,174.744196113322 -36.8425122752159,174.743904050873 -36.8420116940959,174.743867515794 -36.8419480072821,174.743725172209 -36.841699879586,174.743677149722 -36.8416283996321,174.743656049074 -36.8416350727237,174.743631174219 -36.8416372259362,174.743594553659 -36.8416316817837,174.743227541076 -36.841521520671,174.743197578006 -36.8415151639773,174.743164952691 -36.8415092032568,174.743130620219 -36.8415064871834,174.743049883452 -36.8415037864739)",3262417,HACKETT STREET,N,HACKETT STREET,,1824744,2,,,sealed
"LINESTRING (174.746342667947 -36.8450501562489,174.746719418414 -36.8449834163083,174.746782138005 -36.8449743867996,174.746789919036 -36.8449732665908,174.746855680369 -36.8449683944795,174.746940942848 -36.8449662732253,174.74743396816 -36.8449690066684,174.747739157338 -36.8449744996075,174.747781288806 -36.8449751815656,174.747820779927 -36.8449785063327,174.747862547706 -36.844987005591,174.747906633885 -36.8450024138181,174.748220577141 -36.8451314542808,174.748295728249 -36.8451613317096)",3321046,ST FRANCIS DE SALES STREET,N,ST FRANCIS DE SALES STREET,,1823772,2,,,sealed
"LINESTRING (174.746137288795 -36.8443713267499,174.746559015397 -36.8442952456544,174.746595192405 -36.8442902000467,174.746643093068 -36.8442877600855,174.747032310956 -36.8442855121801,174.747527782495 -36.8442820468103,174.747907041385 -36.8442789005169,174.747948990774 -36.8442807144867,174.747983174415 -36.844282989678,174.74802870433 -36.8442903059639,174.748079128844 -36.844303801086,174.748134374593 -36.8443203511444,174.74844404904 -36.8444487886534,174.748646224586 -36.844531791315,174.748700536583 -36.844554088878)",3262430,DUNEDIN STREET,N,DUNEDIN STREET,,1824335,2,,,sealed
"LINESTRING (174.750267427731 -36.8451051943381,174.749654254626 -36.8448303599214,174.749014617356 -36.8445649946197,174.748767965647 -36.8444533382626)",100048464,WAITEMATA STREET,N,WAITEMATA STREET,,1824837,2,,,sealed
"LINESTRING (174.750335807942 -36.8445131314386,174.74964026053 -36.8442163282658,174.749132495651 -36.8439964969322,174.749078021341 -36.8439720149407)",100048465,HARBOUR STREET,N,HARBOUR STREET,,1824742,2,,,sealed
"LINESTRING (174.743768823243 -36.8450277856028,174.74392250889 -36.8451139068463,174.744111864401 -36.8452203526052,174.743973656703 -36.8453800175555,174.743873001256 -36.8454930715421,174.743857023147 -36.8455097943561,174.743840822024 -36.8455161567393,174.743818303538 -36.8455193579479,174.743799438433 -36.8455188379614,174.743780176007 -36.8455152429937,174.74376139835 -36.8455083032178,174.743736844785 -36.8454938471156,174.743531890199 -36.8453695674956,174.743487970471 -36.8453388439932)",3321090,SELBY SQUARE,N,SELBY SQUARE,,1831523,1,,,sealed
"LINESTRING (174.744240630699 -36.8445581919468,174.744220956197 -36.8445643881316,174.744201314369 -36.8445729111149,174.744184475204 -36.8445824754826,174.7441648927 -36.8445989411712,174.744149318994 -36.8446139058681,174.743936212818 -36.8448464533082,174.743768823243 -36.8450277856028,174.743638505284 -36.8451689568206,174.743487970471 -36.8453388439932,174.743370024519 -36.8454719520329,174.74298801374 -36.8458977610471,174.742779689545 -36.8461321435677,174.742638799051 -36.8462835944914,174.742580573754 -36.8463490821201)",3288592,SEYMOUR STREET,N,SEYMOUR STREET,,1824446,2,,,sealed
"LINESTRING (174.742053171153 -36.8376086814709,174.7420535462 -36.8374434081357,174.742044359451 -36.8372398783533,174.742042931141 -36.8371769165871,174.742045319409 -36.8370729027999,174.742051482036 -36.8369783735748,174.742057882601 -36.8368943334713,174.742065708249 -36.8368207659911,174.742073290027 -36.8367774766146,174.742080831659 -36.8367439845945,174.742088294002 -36.8367133248752,174.742098411156 -36.8366748800448,174.742109002724 -36.8366377244006,174.742119306031 -36.8366040260509,174.742135160684 -36.8365546376603,174.742164237833 -36.8364841216121,174.742186087762 -36.8364337205528,174.742215163629 -36.8363748661721,174.742248485787 -36.8363070063496,174.742395684217 -36.8360276123493,174.742565001573 -36.8357097370488,174.742615818149 -36.8356153327739,174.742654209391 -36.8355229205644,174.742685495474 -36.8354361296791,174.742724407952 -36.8353204919369,174.742755204191 -36.83521829874,174.742764625945 -36.8351908875535,174.742798509154 -36.8350923031535,174.742860564942 -36.8349161582172)",3288548,STATE HIGHWAY 1,N,STATE HIGHWAY 1,1,3027695,1,,,sealed
"LINESTRING (174.742122332962 -36.8360571499763,174.742019421851 -36.8361034932646,174.7419273306 -36.8361506315213,174.741837773355 -36.8362127932242,174.741765748624 -36.8362719046524,174.741709527019 -36.8363247382085,174.741638560681 -36.8363965088311,174.741583882081 -36.8364562240575,174.741521931647 -36.8365293001557,174.741461758919 -36.8366070453062,174.741314266554 -36.8368099287101,174.741251581593 -36.8368913348885,174.741195285946 -36.8369601267852,174.741137359624 -36.8370223852245,174.741080847578 -36.8370816412541,174.741009667993 -36.8371482661217,174.740929589869 -36.8372150221895,174.740864704999 -36.8372648617741,174.740794602799 -36.8373135843514,174.740631115881 -36.8374310468207,174.740578071401 -36.837467291752)",3288589,STATE HIGHWAY 1,N,STATE HIGHWAY 1,1,3027695,1,,,sealed
